facility
ATM
charge
power cuts
shops
power breakdown
lodges
accomodation
wait
housekeeping
disappointed
enough
AC
cockroaches
organized
big rooms
volunteer
guidebook
greysers
heaters
wifi
rules 
decent
room
information
stay
cab
taxi
cheap
allowed
facilities
functional
issues
hire
air conditioned
hotel
management
efficient
comfortable
easier
difficulty
internet
aircon
resorts
pool
maintainance
costly
luxury
queue
spatious
ultra modern
